# 西医病症标准化列表（共 1347 条唯一标准病症）
# 格式：标准名称 | 总频次
妊娠 | 2
子宫息肉 | 2
子宫恶性肿瘤个人史 | 2
室上性心动过速 | 2
宫颈原位癌 | 2
导管相关性尿路感染 | 2
小脑肿瘤 | 2
尖锐湿疣 | 2
尿道出血 | 2
带状疱疹伴有其他并发症 | 2
幽门梗阻 | 2
异常子宫出血 | 2
急性化脓性胆囊炎 | 2
急性咽喉炎 | 2
急性心肌梗死 | 2
急性肠炎 | 2
急性脊髓灰质炎 | 2
急性脑血管病 | 2
急性颈部淋巴结炎 | 2
恶心呕吐 | 2
恶性贫血 | 2
感染性腹泻 | 2
慢性乙型丁型病毒性肝炎 | 2
慢性单核细胞白血病 | 2
慢性咽炎 | 2
慢性硬膜下血肿 | 2
慢性肝炎 | 2
慢性肾衰竭合并贫血 | 2
慢性胆囊炎急性发作 | 2
慢性胰腺炎 | 2
慢性鼻炎 | 2
慢性鼻窦炎 | 2
手术后胃瘫综合征 | 2
扩张型心肌病 | 2
抽搐 | 2
支气管瘘 | 2
支气管继发恶性肿瘤 | 2
放射性直肠炎 | 2
新型冠状病毒感染 | 2
月经过多 | 2
枕叶出血 | 2
桡骨远端骨折 | 2
椎管内恶性肿瘤 | 2
残胃炎 | 2
浆细胞性乳腺炎 | 2
浆细胞白血病 | 2
消瘦 | 2
淋巴细胞白血病 | 2
湿疹 | 2
溃疡性结肠炎 | 2
焦虑抑郁状态 | 2
牙龈瘤 | 2
牙龈脓肿 | 2
瓦登伯格综合征 | 2
甲状腺功能亢进症个人史 | 2
甲状腺占位性病变 | 2
甲状腺囊肿 | 2
白癜风 | 2
白细胞异常 | 2
皮肤占位性病变 | 2
皮肤继发恶性肿瘤 | 2
皮脂腺囊肿 | 2
盆腔炎性疾病 | 2
直肠乙状结肠连接处恶性肿瘤 | 2
直肠肿物 | 2
直肠阴道瘘 | 2
眼底出血 | 2
神经纤维瘤 | 2
管状腺瘤 | 2
精神障碍 | 2
糖尿病性视网膜病变 | 2
糖尿病酮症 | 2
结肠原位癌 | 2
结肠息肉病 | 2
结肠术后 | 2
结肠黑变病 | 2
结膜出血 | 2
继发性高血压 | 2
肝内胆管结石 | 2
肝功能异常 | 2
肝炎后肝硬化失代偿期 | 2
肝肾综合征 | 2
肝脾大 | 2
肝错构瘤 | 2
肝门胆管恶性肿瘤 | 2
肠道菌群失调 | 2
股骨头骨折 | 2
股骨干骨折 | 2
股骨远端骨折 | 2
肱骨干骨折 | 2
肺动脉栓塞 | 2
肺性脑病 | 2
肺术后 | 2
肺炎克雷伯杆菌感染 | 2
肾上腺增生 | 2
肾上腺术后 | 2
肾上腺皮质功能减退症 | 2
肾上腺皮质恶性肿瘤 | 2
肾上腺皮质腺瘤 | 2
肾上腺结节性增生 | 2
肾术后 | 2
肾炎综合征 | 2
肾积水伴输尿管结石 | 2
肾输尿管恶性肿瘤 | 2
胃潴留 | 2
胆总管恶性肿瘤 | 2
胆总管结石 | 2
胆汁反流 | 2
胆管出血 | 2
胆管支架置入术后状态 | 2
胆管梗阻 | 2
胰头占位性病变 | 2
胰尾恶性肿瘤 | 2
胰腺囊肿 | 2
胸腔占位性病变 | 2
胸腺瘤 | 2
脉络丛恶性肿瘤 | 2
脊柱血管瘤 | 2
脊髓受压 | 2
脊髓损伤 | 2
脑肿瘤个人史 | 2
腋下淋巴结继发恶性肿瘤 | 2
腋窝恶性肿瘤 | 2
腹主动脉夹层 | 2
腹股沟恶性肿瘤 | 2
腹股沟淋巴结继发恶性肿瘤 | 2
腹胀 | 2
腹部食管恶性肿瘤 | 2
膀胱周围炎 | 2
膈膨升 | 2
膝关节病 | 2
膝关节积液 | 2
自身免疫性溶血性贫血 | 2
菌血症 | 2
营养性贫血 | 2
血管性紫癜 | 2
贲门梗阻 | 2
